age,mean,median,q025,q975,state
2,2802.2952716222353,2481.2664367724806,980.7973836688813,6293.560997710564,VT
3,2987.7418695477854,2773.04318979381,1115.0201016519948,6015.04126877541,VT
4,555.1596317960506,510.5263337488942,216.21682191645985,1153.9673519920536,VT
5,5206.998677098666,5080.290244368243,2357.080019131706,8816.294273917392,VT
1,14310.953417732742,13945.69201433977,8363.410032488455,22343.93688382596,WA
2,31817.155765739488,31453.734265246938,22059.28709055087,43589.94438312248,WA
3,20565.134925904826,20277.62825192573,13730.661168580455,29113.92424015593,WA
4,13926.788708239055,13625.944673815295,8643.589934005788,20916.277196643492,WA
5,33008.149320485805,32691.24754549206,23388.36733780772,44524.50881984195,WA
1,9395.297917002072,8883.438968468265,4704.393783565697,16900.791351288342,WI
2,15624.516084651428,15124.427331256877,9519.022143090775,24451.60421041858,WI
3,12511.29861885036,12158.712864651698,7366.85357474355,19660.72663207185,WI
4,7181.207703666829,6891.040251980079,4118.630342855615,11915.68972357424,WI
5,22445.462272960438,22135.98588196996,14602.990911862309,32037.540454366423,WI
1,2967.9767956902747,2726.5593029928577,1143.545438793028,6134.834090818498,WV
2,4837.895804208292,4556.863049113982,2232.1029808292396,8971.08172183598,WV
3,4346.483467401133,4141.80676746137,2058.4652259266895,7765.173352418702,WV
4,1986.3648764396603,1854.637886882264,874.2000968386543,3846.9661063975163,WV
5,7724.256025947499,7554.7442670639,4175.7756183213405,12211.346903367967,WV
1,863.3094576778357,723.5178742566851,238.68425327100675,2288.9504401055115,WY
2,1737.1987080229196,1554.410657299181,587.0286724901038,3826.278629389602,WY
3,1878.2660814363426,1758.0897827510955,711.374557324108,3700.457218002558,WY
4,305.8819366259506,278.45124250033234,114.42454740355267,657.3153043259426,WY
5,2489.962325750459,2386.405525364968,1085.5391174683637,4458.684802694108,WY
